position;code;name_en;purpose_de;name_en;purpose_en
91;S091;Zwei-Faktor-Authentisierung-System;Bereitstellung und Betrieb eines Zwei-Faktor-Authentisierung-System für IT-Systeme wie z.B. Tokens, Biometrie, Chipkarten etc.;Two-factor authentication system;Provisioning and operation of a two-factor authentication system for IT systems, such as tokens, biometrics, smart cards, etc.
92;S092;Netzwerk Load-Balancer;Bereitstellung und Betrieb von Netzwerk-Load-Balancer-Hardware;Network load balancer;Provisioning and operation of network load balancer hardware
93;S093;Veranstaltungsverwaltungs-Software (ohne Finanzbuchhaltung);Bereitstellung und Betrieb von Software für Veranstaltungsmanagement (ohne Finanzbuchhaltung);Event management software (without financial accounting module);Provisioning and operation of software for event management (without finance module)
94;S094;Mitgliederverwaltung (z.B. Verein) (ohne Finanzbuchhaltung);Bereitstellung und Betrieb von Software für Vereinsmitgliederverwaltung (ohne Finanzbuchhaltung);Membership (club) administration (without financial accounting module);Provisioning and operation of software for club membership administration (without finance module)
95;S095;Stromversorgung;Bereitstellung und Betrieb eines Stromversorgungsystems im Haus inkl. Leitungen;Power supply;Provisioning and operation of an inhouse power supply system incl. Cabling
96;S096;Feuerlöschsystem;Bereitstellung und Betrieb eines Feuerlöschsystems;Firefighting system;Provisioning and operation of a firefighting system
97;S097;Hotelverwaltungssoftware (inkl. Finanzbuchhaltung);Bereitstellung und Betrieb einer branchenspezifischen Hotelverwaltungssoftware inkl. Finanzbuchhaltung;Hotel administration software (incl. financial accounting system);Provisioning and operation of a hotel administration software (incl. financial accounting system)
98;S098;Follow-Me Printing;Bereitstellung und Betrieb von Hard- und Software für eine Follow-Me-Printing-Lösung;Follow-me printing;Provisioning and operation of a hardware and software for a follow-me printing solution
99;S099;Client Betriebssystem (Client OS);Bereitstellung und Betrieb eines Client-Betriebssystems;Client operating system (Client OS);Provisioning and operation of a client operating system
100;S100;Server Betriebssystem (Server OS);Bereitstellung und Betrieb eines Server-Betriebssystems;Server operating system (Server OS);Provisioning and operation of a server operating system
101;S101;Internet-Browser;Bereitstellung und Betrieb Software für die Nutzung des Internet (WWW);Internet browser;Provisioning and operation of a software for the access to the Internet (WWW)
102;S102;Lagerverwaltungssoftware (WMS);Bereitstellung und Betrieb von Software für die Lagerverwaltung;Warehouse management system (WMS);Provisioning and operation of a warehouse management system
103;S103;Business Intelligence Software (BI);Bereitstellung und Betrieb von Software für die Erstellung und Auswertung von statistischen Kennzahlen;Business intelligence software (BI);Provisioning and operation of a software for creation and analysis of statistical key performance indicators
104;S104;Scanner;Bereitstellung und Betrieb von Scannern;Scanner;Provisioning and operation of scanners
105;S105;Dispositionssoftware;Bereitstellung und Betrieb von Software zur Disposition (und anschließender Bestellungsübermittlung an das ERP System);Disposition software;Provisioning and operation of a disposition software (incl. ERP interface)
106;S106;Versand und Logistiksystem;Bereitstellung und Betrieb von Software zur Unterstützung von Versand und Logistik;Dispatch and logistics system;Provisioning and operation of a dispatch and logistics system
107;S107;Krankenversicherungs-Abrechungssoftware (KV);Bereitstellung und Betrieb von Software für die Abrechnung mit einer gesetzlichen Krankenversicherung;Billing software for health insurance;Provisioning and operation of a billing software for health insurance
108;S108;Produktionsinformationssystem (PIM);Bereitstellung und Betrieb von Software für die automatisierte Bereitstellung von Ausgabemedien wie Katalogen;Product information management system (PIM);Provisioning and operation of a product information management system
109;S109;Digital-Asset-Management-Software (DAM);Bereitstellung und Betrieb von Software zur Verwaltung von Bild, Video und Mediendateien;Digital asset management software (DAM);Provisioning and operation of a digital asset management software 
110;S110;Compliance-Software intern;Bereitstellung und Betrieb von Compliance-Software für interne Zwecke (z.B. für den Abgleich Kunden/Lieferanten mit der aktuellen Anti-Terrorliste);Compliance software internal;Provisioning and operation of a compliance software for internal purposes (data reconciliation with anti-terror list)
111;S111;Leitstand (Leitsystem);Bereitstellung und Betrieb von Software für die Steuerung und Planung von Produktionsaufträgen;Control station software;Provisioning and operation of a control station software
